issue,key,parent_key,average_to_do_workdays,average_acknowledged_workdays,average_wip_workdays,average_on_hold_team_internal_workdays,average_on_hold_customers_workdays,average_verified_workdays,average_resolved_workdays,workdays_in_current_status,status,sw_resolution__breached,software_defect_resolution_sla_breached,average_resolution_workdays,priority,severity,components,linked_issues_count,resolution,created_by,customer,realm,impacted_environment,found_in,type,defect_category,software_defect_fix_sla_start_date,software_defect_fix_sla_target_date,software_defect_fix_sla_end_date,software_defect_resolution_sla_start_date,software_defect_resolution_sla_target_date,software_defect_resolution_sla_end_date,product_deliverable,core_product,parent_product,feature_attribute,created_date,resolution_date,due_date,software_defect_acknowledgement_sla_breached,software_defect_acknowledgement_sla_start_date,software_defect_acknowledgement_sla_end_date,software_defect_acknowledgement_sla_target_date,external_id,reopen_count,resolution_quality,created_year_month,resolved_year_month
ISSUE-1379,KEY-1379,,0,0,0,2.2521,0,16.7962,0,20.18263792824074,In Progress,0,Breached,0,unassigned,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-8,6/11/25 10:31,7/2/25 10:16,,5/15/25 9:21,7/8/25 7:39,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T09:21:31.000,,6/6/25,Breached,5/15/25 9:21,6/11/25 10:31,5/22/25 9:21,EXTERNAL-ID-518,0,Unresolved,2025-05,NaT
ISSUE-1380,KEY-1380,,0,0,4.3679,0,0,0,0,34.86266107638889,Resolved,0,Not breached,4.37,unassigned,S1 - Critical,COMP-19,0,Cannot Reproduce,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/15/25 9:22,,,5/15/25 9:22,5/29/25 9:22,2025-05-21T18:11:56.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T09:22:07.000,5/21/25 18:11,,Not breached,5/15/25 9:22,5/15/25 9:22,5/20/25 9:22,EXTERNAL-ID-1,1,Negatively Resolved,2025-05,2025-05
ISSUE-1387,KEY-1387,,0,0,0,0,0.0974,0,0,38.154061550925924,Open,0,Breached,0,unassigned,S2 - Major,COMP-122,0,(unresolved),External Customer,CUST-36,REALM--25,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,5/15/25 20:41,,,5/15/25 20:41,6/12/25 22:42,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-94,2025-05-15T20:41:50.000,,,Breached,5/15/25 20:41,,5/22/25 23:02,EXTERNAL-ID-825,0,Unresolved,2025-05,NaT
ISSUE-1388,KEY-1388,,1.5309,3.2955,0,4.8438,0,0,0,19.28688563,In Test,0,Breached,0,unassigned,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-36,REALM--25,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-11,5/19/25 9:36,6/9/25 9:21,,5/15/25 20:51,6/12/25 20:31,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-94,2025-05-15T20:51:50.000,,,Not breached,5/15/25 20:51,5/15/25 20:51,5/22/25 20:51,EXTERNAL-ID-822,0,Unresolved,2025-05,NaT
ISSUE-1389,KEY-1389,,3.6468,0,0,0,0.0881,0,4.8616,30.147452754629633,Closed,0,Not breached,3.73,unassigned,S1 - Critical,COMP-122,0,Invalid,External Customer,CUST-36,REALM--25,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,5/15/25 21:02,,,5/15/25 21:02,5/29/25 23:09,2025-05-21T14:41:07.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-94,2025-05-15T21:02:51.000,5/21/25 14:41,,Breached,5/15/25 21:02,5/21/25 14:41,5/20/25 23:09,EXTERNAL-ID-824,0,Negatively Resolved,2025-05,2025-05
ISSUE-1393,KEY-1393,,0,0,27.7274,0,0,0,0,10.963355543981482,Verified,1,Breached,0,unassigned,S2 - Major,COMP-19,2,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/15/25 22:19,6/5/25 22:04,6/24/25 15:46,5/15/25 22:19,6/12/25 21:59,2025-06-24T15:46:56.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:19:23.000,,6/27/25,Breached,5/15/25 22:19,,5/22/25 22:19,EXTERNAL-ID-930,0,Unresolved,2025-05,2025-06
ISSUE-1394,KEY-1394,,0,0,27.7271,0,0,0,0,10.963506006944444,Verified,1,Breached,0,unassigned,S2 - Major,COMP-19,2,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/15/25 22:19,6/5/25 22:04,6/24/25 15:46,5/15/25 22:19,6/12/25 21:59,2025-06-24T15:46:43.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:19:37.000,,6/27/25,Breached,5/15/25 22:19,,5/22/25 22:19,EXTERNAL-ID-929,0,Unresolved,2025-05,2025-06
ISSUE-1395,KEY-1395,,0,0,27.7246,0,0,0,0,10.965462025462964,Verified,1,Breached,0,unassigned,S2 - Major,COMP-19,4,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:20,6/5/25 22:05,6/24/25 15:43,5/15/25 22:20,6/12/25 22:00,2025-06-24T15:43:54.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:20:26.000,,6/27/25,Breached,5/15/25 22:20,,5/22/25 22:20,EXTERNAL-ID-931,0,Unresolved,2025-05,2025-06
ISSUE-1397,KEY-1397,,0,0,0,0,0,0,0,38.688517581018516,Reopened,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:22,,,5/15/25 22:22,8/7/25 21:22,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:22:39.000,,,Breached,5/15/25 22:22,,5/22/25 22:22,EXTERNAL-ID-936,1,Unresolved,2025-05,NaT
ISSUE-1399,KEY-1399,,0,0,3.7729,0,0,0,0,34.91475601851852,Verified,0,Not breached,0,unassigned,S2 - Major,COMP-19,1,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:23,6/5/25 22:08,5/21/25 16:56,5/15/25 22:23,6/12/25 22:03,2025-05-21T16:56:55.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:23:53.000,,6/27/25,Breached,5/15/25 22:23,,5/22/25 22:23,EXTERNAL-ID-941,1,Unresolved,2025-05,2025-05
ISSUE-1400,KEY-1400,,0,0,0,0,0,0,0,38.68715185185185,In Test,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:24,7/31/25 21:29,,5/15/25 22:24,8/7/25 21:24,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:24:38.000,,6/30/25,Breached,5/15/25 22:24,,5/22/25 22:24,EXTERNAL-ID-943,0,Unresolved,2025-05,NaT
ISSUE-1402,KEY-1402,,0,0,27.5075,0,0,0,0,11.179142592592592,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,1,(unresolved),External Customer,CUST-40,REALM--1,ENV-1,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:25,7/31/25 21:30,6/24/25 10:36,5/15/25 22:25,8/7/25 21:25,2025-06-24T10:36:12.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:25:19.000,,6/30/25,Breached,5/15/25 22:25,,5/22/25 22:25,EXTERNAL-ID-944,0,Unresolved,2025-05,2025-06
ISSUE-1404,KEY-1404,,0,0,0,0,0,0,0,38.68594814814815,In Test,0,Breached,0,unassigned,S2 - Major,COMP-19,1,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,Post Production Release,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:26,6/5/25 22:11,,5/15/25 22:26,6/12/25 22:06,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:26:20.000,,,Breached,5/15/25 22:26,,5/22/25 22:26,EXTERNAL-ID-953,0,Unresolved,2025-05,NaT
ISSUE-1405,KEY-1405,,0,0,0,0,0,0,0,38.6852537,In Progress,0,Breached,0,unassigned,S2 - Major,COMP-19,2,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,Post Production Release,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:27,6/5/25 22:12,,5/15/25 22:27,6/12/25 22:07,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:27:20.000,,9/30/24,Not breached,5/15/25 22:27,5/15/25 22:27,5/22/25 22:27,EXTERNAL-ID-939,0,Unresolved,2025-05,NaT
ISSUE-1410,KEY-1410,,0,0,0,0,0,0,0,38.682117141203705,Reopened,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:31,,,5/15/25 22:31,8/7/25 21:31,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:31:52.000,,,Breached,5/15/25 22:31,,5/22/25 22:31,EXTERNAL-ID-950,2,Unresolved,2025-05,NaT
ISSUE-1411,KEY-1411,,0,0,0,0,0,0,0,38.68161945601852,In Progress,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,Post Production Release,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:32,7/31/25 21:37,,5/15/25 22:32,8/7/25 21:32,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:32:36.000,,9/30/24,Not breached,5/15/25 22:32,5/15/25 22:32,5/22/25 22:32,EXTERNAL-ID-926,0,Unresolved,2025-05,NaT
ISSUE-1415,KEY-1415,,0,0,0,0,0,0,0,38.680300011574076,In Progress,0,Breached,0,unassigned,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:34,6/5/25 22:19,,5/15/25 22:34,6/12/25 22:14,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:34:29.000,,,Not breached,5/15/25 22:34,5/15/25 22:34,5/22/25 22:34,EXTERNAL-ID-954,0,Unresolved,2025-05,NaT
ISSUE-1416,KEY-1416,,0,0,0,19.7841,0,0,0,18.895427326388887,Resolved,0,Not breached,19.78,unassigned,S3 - Minor,COMP-19,0,Won't Fix,External Customer,CUST-40,REALM--1,ENV-1,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:35,,,5/15/25 22:35,8/7/25 21:35,2025-06-12T17:24:45.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:35:34.000,6/12/25 17:24,,Breached,5/15/25 22:35,6/12/25 17:24,5/22/25 22:35,EXTERNAL-ID-1,0,Negatively Resolved,2025-05,2025-06
ISSUE-1417,KEY-1417,,0,0,0,0,0,0,0,38.67935094907408,In Test,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:35,7/31/25 21:40,,5/15/25 22:35,8/7/25 21:35,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:35:51.000,,,Breached,5/15/25 22:35,,5/22/25 22:35,EXTERNAL-ID-955,1,Unresolved,2025-05,NaT
ISSUE-1418,KEY-1418,,0,0,0,0,0,0,0,38.67899215277778,In Test,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:36,7/31/25 21:41,,5/15/25 22:36,8/7/25 21:36,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:36:23.000,,,Breached,5/15/25 22:36,,5/22/25 22:36,EXTERNAL-ID-957,1,Unresolved,2025-05,NaT
ISSUE-1419,KEY-1419,,0,0,0,0,0,0,0,11.17752224537037,In Progress,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:37,7/31/25 21:42,,5/15/25 22:37,8/7/25 21:37,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:37:04.000,,11/29/24,Breached,5/15/25 22:37,6/24/25 10:38,5/22/25 22:37,EXTERNAL-ID-1163,1,Unresolved,2025-05,NaT
ISSUE-1420,KEY-1420,,0,0,29.3989,0,0,0,0,9.279431967592593,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:37,7/31/25 21:42,6/26/25 8:11,5/15/25 22:37,8/7/25 21:37,2025-06-26T08:11:47.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:37:19.000,,11/29/24,Breached,5/15/25 22:37,,5/22/25 22:37,EXTERNAL-ID-958,0,Unresolved,2025-05,2025-06
ISSUE-1425,KEY-1425,,23.6906,0,0,0,0,0,0,14.983876423611111,Waiting For Information -Internal,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:42,,,5/15/25 22:42,8/7/25 21:42,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:42:56.000,,11/29/24,Breached,5/15/25 22:42,,5/22/25 22:42,EXTERNAL-ID-967,1,Unresolved,2025-05,NaT
ISSUE-1429,KEY-1429,,0,0,26.5886,0,0,0,0,12.084408831018518,Verified,1,Breached,0,unassigned,S2 - Major,COMP-19,1,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,Post Production Release,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:45,6/5/25 22:30,6/23/25 12:52,5/15/25 22:44,6/12/25 22:24,2025-06-23T12:52:37.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:44:59.000,,6/27/25,Breached,5/15/25 22:44,,5/22/25 22:44,EXTERNAL-ID-968,0,Unresolved,2025-05,2025-06
ISSUE-1430,KEY-1430,,0,0,27.4956,0,0,0,0,11.17676994212963,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/15/25 22:45,7/31/25 21:50,6/24/25 10:39,5/15/25 22:45,8/7/25 21:45,2025-06-24T10:39:37.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:45:54.000,,6/29/25,Not breached,5/15/25 22:45,5/15/25 22:45,5/22/25 22:45,EXTERNAL-ID-970,1,Unresolved,2025-05,2025-06
ISSUE-1431,KEY-1431,,0,0,27.7098,0,0,0,0,10.962290775462963,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:46,7/31/25 21:51,6/24/25 15:48,5/15/25 22:46,8/7/25 21:46,2025-06-24T15:48:28.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-77,2025-05-15T22:46:18.000,,6/28/24,Breached,5/15/25 22:46,,5/22/25 22:46,EXTERNAL-ID-971,0,Unresolved,2025-05,2025-06
ISSUE-1434,KEY-1434,,0,0,0,0,0,0,0,38.67080930555556,In Progress,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:48,7/31/25 21:53,,5/15/25 22:48,8/7/25 21:48,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:48:10.000,,6/28/25,Not breached,5/15/25 22:48,5/15/25 22:48,5/22/25 22:48,EXTERNAL-ID-975,2,Unresolved,2025-05,NaT
ISSUE-1438,KEY-1438,,0,0,0,0,0,0,0,38.669524583333335,In Progress,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:50,7/31/25 21:55,,5/15/25 22:49,8/7/25 21:49,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:49:59.000,,11/29/24,Not breached,5/15/25 22:49,5/15/25 22:50,5/22/25 22:49,EXTERNAL-ID-979,0,Unresolved,2025-05,NaT
ISSUE-1440,KEY-1440,,0,0,27.7066,0,0,0,0,10.962209768518518,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:51,7/31/25 21:56,6/24/25 15:48,5/15/25 22:50,8/7/25 21:50,2025-06-24T15:48:35.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:50:59.000,,11/29/24,Breached,5/15/25 22:50,,5/22/25 22:50,EXTERNAL-ID-978,0,Unresolved,2025-05,2025-06
ISSUE-1444,KEY-1444,,0,0,27.7051,0,0,0,0,10.96224449074074,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:53,7/31/25 21:58,6/24/25 15:48,5/15/25 22:53,8/7/25 21:53,2025-06-24T15:48:32.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:53:12.000,,11/29/24,Breached,5/15/25 22:53,,5/22/25 22:53,EXTERNAL-ID-987,0,Unresolved,2025-05,2025-06
ISSUE-1446,KEY-1446,,0,0,27.7427,0,0,0,0,10.923725983796297,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:54,7/31/25 21:59,6/24/25 16:44,5/15/25 22:54,8/7/25 21:54,2025-06-24T16:44:00.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:54:32.000,,6/29/25,Breached,5/15/25 22:54,,5/22/25 22:54,EXTERNAL-ID-988,1,Unresolved,2025-05,2025-06
ISSUE-1447,KEY-1447,,0,0,0,0,0,0,0,38.66601765046296,In Progress,0,Breached,0,unassigned,S2 - Major,COMP-19,2,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:55,6/5/25 22:40,,5/15/25 22:55,6/12/25 22:35,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:55:03.000,,3/28/25,Not breached,5/15/25 22:55,5/15/25 22:55,5/22/25 22:55,EXTERNAL-ID-986,0,Unresolved,2025-05,NaT
ISSUE-1448,KEY-1448,,0,0,27.7418,0,0,0,0,10.923841724537038,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 22:55,7/31/25 22:00,6/24/25 16:43,5/15/25 22:55,8/7/25 21:55,2025-06-24T16:43:50.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T22:55:38.000,,6/29/25,Breached,5/15/25 22:55,,5/22/25 22:55,EXTERNAL-ID-989,2,Unresolved,2025-05,2025-06
ISSUE-1456,KEY-1456,,0,0,0,0,0,0,0,38.66065885416667,In Progress,0,Breached,0,unassigned,S2 - Major,COMP-19,2,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:02,6/5/25 22:47,,5/15/25 23:02,6/12/25 22:42,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:02:47.000,,9/30/24,Not breached,5/15/25 23:02,5/15/25 23:02,5/22/25 23:02,EXTERNAL-ID-995,0,Unresolved,2025-05,NaT
ISSUE-1459,KEY-1459,,0,0,27.7358,0,0,0,0,10.923957465277777,Verified,1,Breached,0,unassigned,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:04,6/5/25 22:49,6/24/25 16:43,5/15/25 23:04,6/12/25 22:44,2025-06-24T16:43:40.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:04:03.000,,6/30/25,Breached,5/15/25 23:04,,5/22/25 23:04,EXTERNAL-ID-1005,0,Unresolved,2025-05,2025-06
ISSUE-1461,KEY-1461,,0,0,0,0,0,0,0,38.65944358796296,Waiting For Information -Internal,0,Breached,0,unassigned,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:04,,,5/15/25 23:04,6/12/25 22:44,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:04:31.000,,,Breached,5/15/25 23:04,,5/22/25 23:04,EXTERNAL-ID-1009,0,Unresolved,2025-05,NaT
ISSUE-1471,KEY-1471,,0,0,27.6948,0,0,0,0,10.96222136574074,Verified,0,Not breached,0,unassigned,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:08,7/31/25 22:13,6/24/25 15:48,5/15/25 23:07,8/7/25 22:07,2025-06-24T15:48:34.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:07:57.000,,7/15/25,Breached,5/15/25 23:07,,5/22/25 23:07,EXTERNAL-ID-945,0,Unresolved,2025-05,2025-06
ISSUE-1475,KEY-1475,,0,0,0,0,0,0,0,24.255473680555554,Open,0,Breached,0,unassigned,S2 - Major,COMP-124,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:09,,,5/15/25 23:09,6/12/25 22:49,,PROD-DELIVERABLE-18,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:09:23.000,,,Breached,5/15/25 23:09,,5/22/25 23:09,EXTERNAL-ID-1,0,Unresolved,2025-05,NaT
ISSUE-1476,KEY-1476,,0,0,0,0,0,0,0,24.25502229166667,Open,0,Breached,0,unassigned,S2 - Major,COMP-124,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:09,,,5/15/25 23:09,6/12/25 22:49,,PROD-DELIVERABLE-18,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:09:35.000,,,Breached,5/15/25 23:09,,5/22/25 23:09,EXTERNAL-ID-1,0,Unresolved,2025-05,NaT
ISSUE-1477,KEY-1477,,0,0,0,0,0,0,0,24.25481396990741,Open,0,Breached,0,unassigned,S2 - Major,COMP-124,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:09,,,5/15/25 23:09,6/12/25 22:49,,PROD-DELIVERABLE-18,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:09:47.000,,,Breached,5/15/25 23:09,,5/22/25 23:09,EXTERNAL-ID-1,0,Unresolved,2025-05,NaT
ISSUE-1478,KEY-1478,,0,0,0,0,0,0,0,24.254605636574077,Open,0,Breached,0,unassigned,S2 - Major,COMP-124,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:10,,,5/15/25 23:10,6/12/25 22:50,,PROD-DELIVERABLE-18,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:10:06.000,,,Breached,5/15/25 23:10,,5/22/25 23:10,EXTERNAL-ID-1013,0,Unresolved,2025-05,NaT
ISSUE-1479,KEY-1479,,0,0,0,0,0,0,0,24.25437415509259,Open,0,Breached,0,unassigned,S2 - Major,COMP-124,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:10,,,5/15/25 23:10,6/12/25 22:50,,PROD-DELIVERABLE-18,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:10:16.000,,,Breached,5/15/25 23:10,,5/22/25 23:10,EXTERNAL-ID-1012,0,Unresolved,2025-05,NaT
ISSUE-1480,KEY-1480,,0,0,0,0,0,0,0,24.254154247685186,Open,0,Breached,0,unassigned,S2 - Major,COMP-124,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:10,,,5/15/25 23:10,6/12/25 22:50,,PROD-DELIVERABLE-18,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:10:25.000,,,Breached,5/15/25 23:10,,5/22/25 23:10,EXTERNAL-ID-1018,0,Unresolved,2025-05,NaT
ISSUE-1481,KEY-1481,,0,0,0,0,0,0,0,24.25393434027778,Open,0,Breached,0,unassigned,S2 - Major,COMP-124,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:10,,,5/15/25 23:10,6/12/25 22:50,,PROD-DELIVERABLE-18,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:10:36.000,,,Breached,5/15/25 23:10,,5/22/25 23:10,EXTERNAL-ID-1015,0,Unresolved,2025-05,NaT
